study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
PRJEB52794	SAMEA14394700	ERX9317535	ERR9769339	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/009/ERR9769339/ERR9769339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/009/ERR9769339/ERR9769339_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769339/eb3_2_clone2_early_rt_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769339/eb3_2_clone2_early_rt_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/009/ERR9769339.bam
PRJEB52794	SAMEA14394701	ERX9317538	ERR9769342	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/002/ERR9769342/ERR9769342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/002/ERR9769342/ERR9769342_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769342/eb3_2_clone3_late_rt_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769342/eb3_2_clone3_late_rt_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/002/ERR9769342.bam
PRJEB52794	SAMEA14394703	ERX9317541	ERR9769345	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/005/ERR9769345/ERR9769345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/005/ERR9769345/ERR9769345_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769345/eb3_2_clone10_early_rt_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769345/eb3_2_clone10_early_rt_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/005/ERR9769345.bam
PRJEB52794	SAMEA14394703	ERX9317542	ERR9769346	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/006/ERR9769346/ERR9769346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/006/ERR9769346/ERR9769346_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769346/eb3_2_clone10_late_rt_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769346/eb3_2_clone10_late_rt_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/006/ERR9769346.bam
PRJEB52794	SAMEA14394699	ERX9317564	ERR9769368	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/008/ERR9769368/ERR9769368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/008/ERR9769368/ERR9769368_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769368/gm12878_clone5_rna_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769368/gm12878_clone5_rna_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/008/ERR9769368.bam
PRJEB52794	SAMEA14394701	ERX9317566	ERR9769370	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/000/ERR9769370/ERR9769370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/000/ERR9769370/ERR9769370_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769370/eb3_2_clone3_rna_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769370/eb3_2_clone3_rna_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/000/ERR9769370.bam
PRJEB52794	SAMEA14394702	ERX9317567	ERR9769371	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/001/ERR9769371/ERR9769371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/001/ERR9769371/ERR9769371_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769371/eb3_2_clone4_rna_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769371/eb3_2_clone4_rna_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/001/ERR9769371.bam
PRJEB52794	SAMEA14394699	ERX9317533	ERR9769337	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/007/ERR9769337/ERR9769337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/007/ERR9769337/ERR9769337_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769337/gm12878_clone5_early_rt_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769337/gm12878_clone5_early_rt_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/007/ERR9769337.bam
PRJEB52794	SAMEA14394700	ERX9317536	ERR9769340	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/000/ERR9769340/ERR9769340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/000/ERR9769340/ERR9769340_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769340/eb3_2_clone2_late_rt_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769340/eb3_2_clone2_late_rt_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/000/ERR9769340.bam
PRJEB52794	SAMEA14394701	ERX9317537	ERR9769341	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/001/ERR9769341/ERR9769341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/001/ERR9769341/ERR9769341_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769341/eb3_2_clone3_early_rt_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769341/eb3_2_clone3_early_rt_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/001/ERR9769341.bam
PRJEB52794	SAMEA14394702	ERX9317539	ERR9769343	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/003/ERR9769343/ERR9769343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/003/ERR9769343/ERR9769343_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769343/eb3_2_clone4_early_rt_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769343/eb3_2_clone4_early_rt_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/003/ERR9769343.bam
PRJEB52794	SAMEA14394704	ERX9317543	ERR9769347	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/007/ERR9769347/ERR9769347_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/007/ERR9769347/ERR9769347_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769347/eb3_2_clone13_early_rt_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769347/eb3_2_clone13_early_rt_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/007/ERR9769347.bam
